number_of_rooms,floor,floors,combined_bathroom,shared_bathroom,passenger_elevator,cargo_elevator,loggia,parking,balcony,price,total_area,living_area,kitchen_area,year_of_construction,full_adress,distnce_metro,type_of_accommodation0,type_of_accommodation1,type_of_house0,type_of_house1,type_of_house2,type_of_house3,type_of_house4,type_of_house5,type_of_house6,type_of_house7,repair0,repair1,repair2,repair3,repair4,repair5,district0,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13
1,3,15,0,1,1,1,1,0,0,2857000,23.1,10.0,5.0,2019,"Москва, НАО (Новомосковский), Сосенское поселение, Гавриково СНТ, ул. Березовая",1.279887705059646,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,11,1,0,0,0,1,1,0,10900000,49.0,22.0,15.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1",0.5323660851381751,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,11,2,0,1,1,1,1,0,29200000,118.0,61.0,16.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1",0.5323660851381751,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,17,17,0,1,1,1,1,1,1,6400000,61.0,31.1,12.0,2016,"Москва, НАО (Новомосковский), Воскресенское поселение, проезд Чечерский, 122к3",1.3804778147876398,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,11,2,0,0,0,1,0,0,26900000,109.0,60.0,15.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1",0.5323660851381751,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,11,2,0,1,1,0,0,1,186662496,130.9,98.0,16.0,2012,"Москва, ЦАО, р-н Хамовники, 2-я Фрунзенская ул., 8",0.4502180594367952,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,11,11,1,0,0,0,1,1,0,12400000,50.0,20.0,13.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1",0.5323660851381751,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,25,1,1,1,1,0,1,0,44000000,126.46,70.0,27.7,2008,"Москва, ЗАО, р-н Раменки, Ломоносовский просп., 29к1",1.879882418149436,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,17,1,0,1,1,0,1,1,4377450,38.5,18.9,7.3,2016,"Москва, ЮВАО, р-н Некрасовка, Люберецкие Поля микрорайон, 13-й квартал, к8",8.015042310769326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,6,11,1,0,1,1,1,1,0,11500000,50.0,20.0,12.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90",0.4952167433467383,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
