type_of_accommodation,number_of_rooms,floor,floors,type_of_house,repair,combined_bathroom,shared_bathroom,passenger_elevator,cargo_elevator,loggia,parking,balcony,price,total_area,living_area,kitchen_area,year_of_construction,full_adress,district,distnce_metro
Новостройка,1,3,15,Монолитный,Нет,0,1,1,1,1,0,0,2857000,23.1,10.0,5.0,2019,"Москва, НАО (Новомосковский), Сосенское поселение, Гавриково СНТ, ул. Березовая", НАО (Новомосковский),1.279887705059646
Вторичка,1,9,11,Монолитный,Нет,1,0,0,0,1,1,0,10900000,49.0,22.0,15.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,4,6,11,Монолитный,Нет,2,0,1,1,1,1,0,29200000,118.0,61.0,16.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,2,17,17,Панельный,Нет,0,1,1,1,1,1,1,6400000,61.0,31.1,12.0,2016,"Москва, НАО (Новомосковский), Воскресенское поселение, проезд Чечерский, 122к3", НАО (Новомосковский),1.3804778147876398
Вторичка,3,4,11,Монолитный,Нет,2,0,0,0,1,0,0,26900000,109.0,60.0,15.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,3,3,11,Монолитно-кирпичный,Дизайнерский,2,0,1,1,0,0,1,186662496,130.9,98.0,16.0,2012,"Москва, ЦАО, р-н Хамовники, 2-я Фрунзенская ул., 8", ЦАО,0.4502180594367952
Вторичка,1,11,11,Монолитный,Нет,1,0,0,0,1,1,0,12400000,50.0,20.0,13.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,2,2,25,Монолитный,Нет,1,1,1,1,0,1,0,44000000,126.46,70.0,27.7,2008,"Москва, ЗАО, р-н Раменки, Ломоносовский просп., 29к1", ЗАО,1.879882418149436
Вторичка,1,2,17,Панельный,Нет,1,0,1,1,0,1,1,4377450,38.5,18.9,7.3,2016,"Москва, ЮВАО, р-н Некрасовка, Люберецкие Поля микрорайон, 13-й квартал, к8", ЮВАО,8.015042310769326
Вторичка,1,6,11,Монолитный,Нет,1,0,1,1,1,1,0,11500000,50.0,20.0,12.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90", ВАО,0.4952167433467383
Вторичка,1,3,11,Монолитный,Нет,1,1,0,0,1,0,1,10650000,49.0,19.0,14.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,4,15,16,Монолитный,Нет,0,2,1,1,1,1,0,34000000,131.5,77.6,17.6,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С2", ВАО,0.6332881458583748
Вторичка,2,2,13,Монолитный,Нет,2,0,0,0,1,0,0,17900000,80.0,50.0,14.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,4,28,44,Монолитный,Нет,0,2,1,0,0,0,1,57000000,147.0,100.0,10.0,2004,"Москва, ЗАО, р-н Фили-Давыдково, Давыдковская ул., 3", ЗАО,0.8198485106731115
Вторичка,3,3,6,Монолитный,Нет,0,2,1,0,0,0,1,49000000,123.0,71.0,8.0,1913,"Москва, ЦАО, р-н Хамовники, Малый Могильцевский пер., 4Б", ЦАО,0.622612242537528
Вторичка,5,4,6,Монолитный,Нет,0,3,1,0,0,0,0,99000000,250.0,200.0,20.0,1909,"Москва, ЦАО, р-н Арбат, Большой Афанасьевский пер., 36С1", ЦАО,0.3717243257980703
Вторичка,3,10,22,Монолитный,Нет,0,2,1,0,0,0,1,43000000,108.0,80.0,12.0,2009,"Москва, ЮЗАО, р-н Академический, ул. Дмитрия Ульянова, 31", ЮЗАО,1.0795869003386898
Новостройка,1,2,16,Монолитный,Нет,1,0,1,1,1,1,0,9827730,46.0,17.5,22.3,2019,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул.", ВАО,1.7976944526847196
Новостройка,2,17,22,Монолитный,Нет,1,0,1,1,0,1,0,18377280,64.8,45.8,9.4,2018,"Москва, ЗАО, р-н Кунцево, Рублевское ш., 101К3", ЗАО,0.4620240626906531
Вторичка,3,7,30,Монолитно-кирпичный,Нет,0,2,1,0,0,0,1,65000000,151.1,82.1,15.0,2002,"Москва, ЗАО, р-н Проспект Вернадского, Ленинский просп., 98К1", ЗАО,1.126381505984651
Вторичка,4,5,9,Монолитный,Нет,0,3,1,0,0,0,1,115319441,155.0,100.0,18.0,1997,"Москва, ЦАО, р-н Замоскворечье, Татарская ул., 18", ЦАО,0.25110026476324626
Вторичка,2,3,6,Монолитный,Нет,0,2,1,0,0,0,1,45000000,68.0,35.0,10.0,1925,"Москва, ЦАО, р-н Тверской, Трехпрудный пер., 6", ЦАО,0.3494610285232991
Вторичка,3,8,8,Монолитный,Нет,0,2,1,0,0,0,0,137037936,142.6,113.0,12.0,2009,"Москва, ЦАО, р-н Басманный, Казарменный пер., 3", ЦАО,0.7785445767315001
Вторичка,4,5,6,Монолитный,Нет,0,2,1,0,0,0,0,68199669,137.0,110.0,12.0,1914,"Москва, ЦАО, р-н Басманный, ул. Солянка, 1/2С1", ЦАО,0.6375675628426687
Вторичка,6,8,8,Монолитно-кирпичный,Нет,0,4,1,0,0,0,0,328598409,450.0,300.0,25.0,2012,"Москва, ЦАО, р-н Арбат, Большой Афанасьевский пер., 28", ЦАО,0.4154650487946528
Вторичка,3,4,12,Монолитно-кирпичный,Дизайнерский,1,1,1,1,1,0,0,50000000,150.0,110.0,20.0,2004,"Москва, ЗАО, р-н Проспект Вернадского, ул. Удальцова, 26К1", ЗАО,1.0510100360240562
Вторичка,1,12,25,Панельный,Нет,0,1,0,0,1,1,1,4680898,39.4,18.9,9.0,2016,"Москва, ЮВАО, р-н Некрасовка, ул. Недорубова, 18к1", ЮВАО,7.117841906668726
Вторичка,6,14,24,Монолитный,Нет,0,5,1,0,0,0,0,361501650,293.0,250.0,25.0,2011,"Москва, ЮЗАО, р-н Гагаринский, ул. Косыгина, 13к1", ЮЗАО,0.9010137028112593
Вторичка,3,7,10,Монолитно-кирпичный,Дизайнерский,0,0,1,1,0,0,0,50000000,75.0,50.0,15.0,2013,"Москва, ЦАО, р-н Замоскворечье, Мытная ул., 7с1", ЦАО,0.7588369729959621
Новостройка,2,2,17,Панельный,Черновая,0,1,1,1,1,0,0,6040156,62.1,32.0,12.9,2018,"Москва, ЮВАО, р-н Некрасовка, Люберецкие Поля микрорайон, 13-й квартал, к10", ЮВАО,7.835577188234738
Вторичка,4,3,4,Монолитный,Нет,0,2,1,0,0,0,0,216998949,173.0,100.0,15.0,2001,"Москва, ЦАО, р-н Хамовники, 1-й Зачатьевский пер., 21", ЦАО,0.5491301224936592
Вторичка,3,7,11,Монолитно-кирпичный,Нет,0,1,1,0,0,0,1,111599459,138.0,100.0,20.0,2008,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 2С3", ЦАО,0.647935115427873
Вторичка,3,9,17,Монолитно-кирпичный,Евроремонт,0,0,1,0,1,0,0,65000000,110.0,75.0,15.0,2008,"Москва, ЗАО, р-н Дорогомилово, Студенческая ул., 20к1", ЗАО,0.5405522644859322
Вторичка,3,2,7,Монолитно-кирпичный,Дизайнерский,0,1,1,0,0,0,1,75000000,133.0,75.0,15.0,1998,"Москва, ЦАО, р-н Хамовники, 1-й Зачатьевский пер., 4", ЦАО,0.591634432212328
Вторичка,5,6,6,Кирпичный,Дизайнерский,0,0,1,0,0,0,0,65000000,195.0,140.0,35.0,1917,"Москва, ЦАО, р-н Тверской, Тверская ул., 12С7", ЦАО,0.19579933527462487
Вторичка,3,3,6,Монолитный,Дизайнерский,1,0,1,0,0,0,0,77499624,118.0,80.0,12.0,1912,"Москва, ЦАО, р-н Арбат, пер. Сивцев Вражек, 12", ЦАО,0.6363806733879018
